state,state_display,date,year,month_number,month,date_label,division,division_name,inflation_yoy,inflation_mom,rank_highest_to_lowest,pressure_group
Johor,Johor,2019-02-01,2019,2,February,February 2019,01,Food and non-alcoholic beverages,0.8,0.1,8,Other states
Johor,Johor,2019-03-01,2019,3,March,March 2019,01,Food and non-alcoholic beverages,0.9,-0.7,8,Other states
Johor,Johor,2019-04-01,2019,4,April,April 2019,01,Food and non-alcoholic beverages,1.2,-0.2,4,Other states
Johor,Johor,2019-05-01,2019,5,May,May 2019,01,Food and non-alcoholic beverages,1.8,0.7,3,Other states
Johor,Johor,2019-06-01,2019,6,June,June 2019,01,Food and non-alcoholic beverages,2.7,0.1,4,Other states
Johor,Johor,2019-07-01,2019,7,July,July 2019,01,Food and non-alcoholic beverages,2.7,0.4,4,Other states
Johor,Johor,2019-08-01,2019,8,August,August 2019,01,Food and non-alcoholic beverages,2.4,-0.1,7,Other states
Johor,Johor,2019-09-01,2019,9,September,September 2019,01,Food and non-alcoholic beverages,2.6,0.0,3,Other states
Johor,Johor,2019-10-01,2019,10,October,October 2019,01,Food and non-alcoholic beverages,2.5,0.2,2,Other states
Johor,Johor,2019-11-01,2019,11,November,November 2019,01,Food and non-alcoholic beverages,1.8,-0.3,5,Other states
Johor,Johor,2019-12-01,2019,12,December,December 2019,01,Food and non-alcoholic beverages,2.5,0.9,2,Other states
Johor,Johor,2020-01-01,2020,1,January,January 2020,01,Food and non-alcoholic beverages,1.3,0.2,2,Other states
Johor,Johor,2020-02-01,2020,2,February,February 2020,01,Food and non-alcoholic beverages,1.3,0.1,2,Other states
Johor,Johor,2020-03-01,2020,3,March,March 2020,01,Food and non-alcoholic beverages,1.8,-0.2,2,Other states
Johor,Johor,2020-04-01,2020,4,April,April 2020,01,Food and non-alcoholic beverages,1.7,-0.3,5,Other states
Johor,Johor,2020-05-01,2020,5,May,May 2020,01,Food and non-alcoholic beverages,1.3,0.3,5,Other states
Johor,Johor,2020-06-01,2020,6,June,June 2020,01,Food and non-alcoholic beverages,2.0,0.8,5,Other states
Johor,Johor,2020-07-01,2020,7,July,July 2020,01,Food and non-alcoholic beverages,1.6,0.0,6,Other states
Johor,Johor,2020-08-01,2020,8,August,August 2020,01,Food and non-alcoholic beverages,1.7,-0.1,3,Other states
Johor,Johor,2020-09-01,2020,9,September,September 2020,01,Food and non-alcoholic beverages,1.5,-0.1,4,Other states
Johor,Johor,2020-10-01,2020,10,October,October 2020,01,Food and non-alcoholic beverages,1.4,0.1,7,Other states
Johor,Johor,2020-11-01,2020,11,November,November 2020,01,Food and non-alcoholic beverages,1.7,0.1,4,Other states
Johor,Johor,2020-12-01,2020,12,December,December 2020,01,Food and non-alcoholic beverages,1.0,0.1,11,Other states
Johor,Johor,2021-01-01,2021,1,January,January 2021,01,Food and non-alcoholic beverages,1.1,0.4,12,Other states
Johor,Johor,2021-02-01,2021,2,February,February 2021,01,Food and non-alcoholic beverages,1.2,0.2,7,Other states
Johor,Johor,2021-03-01,2021,3,March,March 2021,01,Food and non-alcoholic beverages,1.4,0.0,9,Other states
Johor,Johor,2021-04-01,2021,4,April,April 2021,01,Food and non-alcoholic beverages,2.1,0.4,6,Other states
Johor,Johor,2021-05-01,2021,5,May,May 2021,01,Food and non-alcoholic beverages,1.6,-0.3,6,Other states
Johor,Johor,2021-06-01,2021,6,June,June 2021,01,Food and non-alcoholic beverages,1.1,0.4,7,Other states
Johor,Johor,2021-07-01,2021,7,July,July 2021,01,Food and non-alcoholic beverages,1.1,-0.1,9,Other states
Johor,Johor,2021-08-01,2021,8,August,August 2021,01,Food and non-alcoholic beverages,1.1,0.0,8,Other states
Johor,Johor,2021-09-01,2021,9,September,September 2021,01,Food and non-alcoholic beverages,2.2,0.9,4,Other states
Johor,Johor,2021-10-01,2021,10,October,October 2021,01,Food and non-alcoholic beverages,2.2,0.1,7,Other states
Johor,Johor,2021-11-01,2021,11,November,November 2021,01,Food and non-alcoholic beverages,2.8,0.7,8,Other states
Johor,Johor,2021-12-01,2021,12,December,December 2021,01,Food and non-alcoholic beverages,3.7,1.0,3,Other states
Johor,Johor,2022-01-01,2022,1,January,January 2022,01,Food and non-alcoholic beverages,4.0,0.6,3,Other states
Johor,Johor,2022-02-01,2022,2,February,February 2022,01,Food and non-alcoholic beverages,3.7,-0.1,4,Other states
Johor,Johor,2022-03-01,2022,3,March,March 2022,01,Food and non-alcoholic beverages,4.2,0.5,5,Other states
Johor,Johor,2022-04-01,2022,4,April,April 2022,01,Food and non-alcoholic beverages,4.2,0.4,5,Other states
