strata,strata_display,date,date_number,year,month_number,month,division,division_name,food_consumer_price_index
urban,Urban households,2020-07-01,20200701,2020,7,July,01,Food and beverages,137.2
urban,Urban households,2020-08-01,20200801,2020,8,August,01,Food and beverages,137.5
urban,Urban households,2020-09-01,20200901,2020,9,September,01,Food and beverages,137.4
urban,Urban households,2020-10-01,20201001,2020,10,October,01,Food and beverages,137.6
urban,Urban households,2020-11-01,20201101,2020,11,November,01,Food and beverages,137.4
urban,Urban households,2020-12-01,20201201,2020,12,December,01,Food and beverages,138.1
urban,Urban households,2021-01-01,20210101,2021,1,January,01,Food and beverages,138.4
urban,Urban households,2021-02-01,20210201,2021,2,February,01,Food and beverages,138.3
urban,Urban households,2021-03-01,20210301,2021,3,March,01,Food and beverages,138.4
urban,Urban households,2021-04-01,20210401,2021,4,April,01,Food and beverages,138.7
urban,Urban households,2021-05-01,20210501,2021,5,May,01,Food and beverages,138.5
urban,Urban households,2021-06-01,20210601,2021,6,June,01,Food and beverages,138.9
urban,Urban households,2021-07-01,20210701,2021,7,July,01,Food and beverages,139.0
urban,Urban households,2021-08-01,20210801,2021,8,August,01,Food and beverages,139.0
urban,Urban households,2021-09-01,20210901,2021,9,September,01,Food and beverages,139.8
urban,Urban households,2021-10-01,20211001,2021,10,October,01,Food and beverages,140.2
urban,Urban households,2021-11-01,20211101,2021,11,November,01,Food and beverages,141.1
urban,Urban households,2021-12-01,20211201,2021,12,December,01,Food and beverages,142.6
urban,Urban households,2022-01-01,20220101,2022,1,January,01,Food and beverages,143.5
urban,Urban households,2022-02-01,20220201,2022,2,February,01,Food and beverages,143.8
urban,Urban households,2022-03-01,20220301,2022,3,March,01,Food and beverages,144.2
urban,Urban households,2022-04-01,20220401,2022,4,April,01,Food and beverages,144.8
urban,Urban households,2022-05-01,20220501,2022,5,May,01,Food and beverages,146.2
urban,Urban households,2022-06-01,20220601,2022,6,June,01,Food and beverages,147.9
urban,Urban households,2022-07-01,20220701,2022,7,July,01,Food and beverages,149.0
urban,Urban households,2022-08-01,20220801,2022,8,August,01,Food and beverages,149.5
