state,state_display,date,date_number,year,month_number,month,month_short,year_month,division,division_name,inflation_yoy,inflation_mom,pressure_level,average_food_inflation_all_years
Johor,Johor,2018-12-01,201812,2018,12,December,Dec,2018-12,01,Food and non-alcoholic beverages,0.4,0.2,Low pressure,3.423
Johor,Johor,2019-01-01,201901,2019,1,January,Jan,2019-01,01,Food and non-alcoholic beverages,1.1,1.4,Low pressure,3.423
Johor,Johor,2019-02-01,201902,2019,2,February,Feb,2019-02,01,Food and non-alcoholic beverages,0.8,0.1,Low pressure,3.423
Johor,Johor,2019-03-01,201903,2019,3,March,Mar,2019-03,01,Food and non-alcoholic beverages,0.9,-0.7,Low pressure,3.423
Johor,Johor,2019-04-01,201904,2019,4,April,Apr,2019-04,01,Food and non-alcoholic beverages,1.2,-0.2,Low pressure,3.423
Johor,Johor,2019-05-01,201905,2019,5,May,May,2019-05,01,Food and non-alcoholic beverages,1.8,0.7,Low pressure,3.423
Johor,Johor,2019-06-01,201906,2019,6,June,Jun,2019-06,01,Food and non-alcoholic beverages,2.7,0.1,Moderate pressure,3.423
Johor,Johor,2019-07-01,201907,2019,7,July,Jul,2019-07,01,Food and non-alcoholic beverages,2.7,0.4,Moderate pressure,3.423
Johor,Johor,2019-08-01,201908,2019,8,August,Aug,2019-08,01,Food and non-alcoholic beverages,2.4,-0.1,Moderate pressure,3.423
Johor,Johor,2019-09-01,201909,2019,9,September,Sep,2019-09,01,Food and non-alcoholic beverages,2.6,0.0,Moderate pressure,3.423
Johor,Johor,2019-10-01,201910,2019,10,October,Oct,2019-10,01,Food and non-alcoholic beverages,2.5,0.2,Moderate pressure,3.423
Johor,Johor,2019-11-01,201911,2019,11,November,Nov,2019-11,01,Food and non-alcoholic beverages,1.8,-0.3,Low pressure,3.423
Johor,Johor,2019-12-01,201912,2019,12,December,Dec,2019-12,01,Food and non-alcoholic beverages,2.5,0.9,Moderate pressure,3.423
Johor,Johor,2020-01-01,202001,2020,1,January,Jan,2020-01,01,Food and non-alcoholic beverages,1.3,0.2,Low pressure,3.423
Johor,Johor,2020-02-01,202002,2020,2,February,Feb,2020-02,01,Food and non-alcoholic beverages,1.3,0.1,Low pressure,3.423
Johor,Johor,2020-03-01,202003,2020,3,March,Mar,2020-03,01,Food and non-alcoholic beverages,1.8,-0.2,Low pressure,3.423
Johor,Johor,2020-04-01,202004,2020,4,April,Apr,2020-04,01,Food and non-alcoholic beverages,1.7,-0.3,Low pressure,3.423
Johor,Johor,2020-05-01,202005,2020,5,May,May,2020-05,01,Food and non-alcoholic beverages,1.3,0.3,Low pressure,3.423
Johor,Johor,2020-06-01,202006,2020,6,June,Jun,2020-06,01,Food and non-alcoholic beverages,2.0,0.8,Moderate pressure,3.423
Johor,Johor,2020-07-01,202007,2020,7,July,Jul,2020-07,01,Food and non-alcoholic beverages,1.6,0.0,Low pressure,3.423
Johor,Johor,2020-08-01,202008,2020,8,August,Aug,2020-08,01,Food and non-alcoholic beverages,1.7,-0.1,Low pressure,3.423
Johor,Johor,2020-09-01,202009,2020,9,September,Sep,2020-09,01,Food and non-alcoholic beverages,1.5,-0.1,Low pressure,3.423
Johor,Johor,2020-10-01,202010,2020,10,October,Oct,2020-10,01,Food and non-alcoholic beverages,1.4,0.1,Low pressure,3.423
Johor,Johor,2020-11-01,202011,2020,11,November,Nov,2020-11,01,Food and non-alcoholic beverages,1.7,0.1,Low pressure,3.423
Johor,Johor,2020-12-01,202012,2020,12,December,Dec,2020-12,01,Food and non-alcoholic beverages,1.0,0.1,Low pressure,3.423
Johor,Johor,2021-01-01,202101,2021,1,January,Jan,2021-01,01,Food and non-alcoholic beverages,1.1,0.4,Low pressure,3.423
Johor,Johor,2021-02-01,202102,2021,2,February,Feb,2021-02,01,Food and non-alcoholic beverages,1.2,0.2,Low pressure,3.423
Johor,Johor,2021-03-01,202103,2021,3,March,Mar,2021-03,01,Food and non-alcoholic beverages,1.4,0.0,Low pressure,3.423
Johor,Johor,2021-04-01,202104,2021,4,April,Apr,2021-04,01,Food and non-alcoholic beverages,2.1,0.4,Moderate pressure,3.423
Johor,Johor,2021-05-01,202105,2021,5,May,May,2021-05,01,Food and non-alcoholic beverages,1.6,-0.3,Low pressure,3.423
Johor,Johor,2021-06-01,202106,2021,6,June,Jun,2021-06,01,Food and non-alcoholic beverages,1.1,0.4,Low pressure,3.423
Johor,Johor,2021-07-01,202107,2021,7,July,Jul,2021-07,01,Food and non-alcoholic beverages,1.1,-0.1,Low pressure,3.423
Johor,Johor,2021-08-01,202108,2021,8,August,Aug,2021-08,01,Food and non-alcoholic beverages,1.1,0.0,Low pressure,3.423
Johor,Johor,2021-09-01,202109,2021,9,September,Sep,2021-09,01,Food and non-alcoholic beverages,2.2,0.9,Moderate pressure,3.423
Johor,Johor,2021-10-01,202110,2021,10,October,Oct,2021-10,01,Food and non-alcoholic beverages,2.2,0.1,Moderate pressure,3.423
Johor,Johor,2021-11-01,202111,2021,11,November,Nov,2021-11,01,Food and non-alcoholic beverages,2.8,0.7,Moderate pressure,3.423
Johor,Johor,2021-12-01,202112,2021,12,December,Dec,2021-12,01,Food and non-alcoholic beverages,3.7,1.0,Moderate pressure,3.423
Johor,Johor,2022-01-01,202201,2022,1,January,Jan,2022-01,01,Food and non-alcoholic beverages,4.0,0.6,Moderate pressure,3.423
Johor,Johor,2022-02-01,202202,2022,2,February,Feb,2022-02,01,Food and non-alcoholic beverages,3.7,-0.1,Moderate pressure,3.423
Johor,Johor,2022-03-01,202203,2022,3,March,Mar,2022-03,01,Food and non-alcoholic beverages,4.2,0.5,Moderate pressure,3.423
Johor,Johor,2022-04-01,202204,2022,4,April,Apr,2022-04,01,Food and non-alcoholic beverages,4.2,0.4,Moderate pressure,3.423
Johor,Johor,2022-05-01,202205,2022,5,May,May,2022-05,01,Food and non-alcoholic beverages,6.0,1.4,High pressure,3.423
Johor,Johor,2022-06-01,202206,2022,6,June,Jun,2022-06,01,Food and non-alcoholic beverages,7.3,1.6,High pressure,3.423
Johor,Johor,2022-07-01,202207,2022,7,July,Jul,2022-07,01,Food and non-alcoholic beverages,7.7,0.3,High pressure,3.423
Johor,Johor,2022-08-01,202208,2022,8,August,Aug,2022-08,01,Food and non-alcoholic beverages,7.8,0.1,High pressure,3.423
Johor,Johor,2022-09-01,202209,2022,9,September,Sep,2022-09,01,Food and non-alcoholic beverages,7.1,0.3,High pressure,3.423
Johor,Johor,2022-10-01,202210,2022,10,October,Oct,2022-10,01,Food and non-alcoholic beverages,7.3,0.2,High pressure,3.423
Johor,Johor,2022-11-01,202211,2022,11,November,Nov,2022-11,01,Food and non-alcoholic beverages,7.6,1.0,High pressure,3.423
Johor,Johor,2022-12-01,202212,2022,12,December,Dec,2022-12,01,Food and non-alcoholic beverages,6.9,0.4,High pressure,3.423
Johor,Johor,2023-01-01,202301,2023,1,January,Jan,2023-01,01,Food and non-alcoholic beverages,6.8,0.5,High pressure,3.423
Johor,Johor,2023-02-01,202302,2023,2,February,Feb,2023-02,01,Food and non-alcoholic beverages,7.5,0.6,High pressure,3.423
Johor,Johor,2023-03-01,202303,2023,3,March,Mar,2023-03,01,Food and non-alcoholic beverages,6.9,-0.1,High pressure,3.423
Johor,Johor,2023-04-01,202304,2023,4,April,Apr,2023-04,01,Food and non-alcoholic beverages,6.1,-0.4,High pressure,3.423
Johor,Johor,2023-05-01,202305,2023,5,May,May,2023-05,01,Food and non-alcoholic beverages,5.1,0.4,High pressure,3.423
Johor,Johor,2023-06-01,202306,2023,6,June,Jun,2023-06,01,Food and non-alcoholic beverages,3.4,0.0,Moderate pressure,3.423
Johor,Johor,2023-07-01,202307,2023,7,July,Jul,2023-07,01,Food and non-alcoholic beverages,3.4,0.3,Moderate pressure,3.423
Johor,Johor,2023-08-01,202308,2023,8,August,Aug,2023-08,01,Food and non-alcoholic beverages,3.4,0.1,Moderate pressure,3.423
Johor,Johor,2023-09-01,202309,2023,9,September,Sep,2023-09,01,Food and non-alcoholic beverages,3.2,0.1,Moderate pressure,3.423
Johor,Johor,2023-10-01,202310,2023,10,October,Oct,2023-10,01,Food and non-alcoholic beverages,3.0,0.0,Moderate pressure,3.423
Johor,Johor,2023-11-01,202311,2023,11,November,Nov,2023-11,01,Food and non-alcoholic beverages,1.7,-0.3,Low pressure,3.423
Johor,Johor,2023-12-01,202312,2023,12,December,Dec,2023-12,01,Food and non-alcoholic beverages,1.8,0.6,Low pressure,3.423
Johor,Johor,2024-01-01,202401,2024,1,January,Jan,2024-01,01,Food and non-alcoholic beverages,1.8,0.5,Low pressure,3.423
Johor,Johor,2024-02-01,202402,2024,2,February,Feb,2024-02,01,Food and non-alcoholic beverages,1.3,0.1,Low pressure,3.423
Johor,Johor,2024-03-01,202403,2024,3,March,Mar,2024-03,01,Food and non-alcoholic beverages,1.1,-0.2,Low pressure,3.423
Johor,Johor,2024-04-01,202404,2024,4,April,Apr,2024-04,01,Food and non-alcoholic beverages,1.3,-0.2,Low pressure,3.423
Johor,Johor,2024-05-01,202405,2024,5,May,May,2024-05,01,Food and non-alcoholic beverages,1.3,0.4,Low pressure,3.423
Johor,Johor,2024-06-01,202406,2024,6,June,Jun,2024-06,01,Food and non-alcoholic beverages,1.8,0.5,Low pressure,3.423
Johor,Johor,2024-07-01,202407,2024,7,July,Jul,2024-07,01,Food and non-alcoholic beverages,1.3,-0.2,Low pressure,3.423
Johor,Johor,2024-08-01,202408,2024,8,August,Aug,2024-08,01,Food and non-alcoholic beverages,1.3,0.1,Low pressure,3.423
Johor,Johor,2024-09-01,202409,2024,9,September,Sep,2024-09,01,Food and non-alcoholic beverages,1.4,0.2,Low pressure,3.423
Johor,Johor,2024-10-01,202410,2024,10,October,Oct,2024-10,01,Food and non-alcoholic beverages,2.4,1.0,Moderate pressure,3.423
Johor,Johor,2024-11-01,202411,2024,11,November,Nov,2024-11,01,Food and non-alcoholic beverages,2.9,0.1,Moderate pressure,3.423
Johor,Johor,2024-12-01,202412,2024,12,December,Dec,2024-12,01,Food and non-alcoholic beverages,3.0,0.7,Moderate pressure,3.423
Johor,Johor,2025-01-01,202501,2025,1,January,Jan,2025-01,01,Food and non-alcoholic beverages,2.6,0.1,Moderate pressure,3.423
Johor,Johor,2025-02-01,202502,2025,2,February,Feb,2025-02,01,Food and non-alcoholic beverages,2.9,0.3,Moderate pressure,3.423
Johor,Johor,2025-03-01,202503,2025,3,March,Mar,2025-03,01,Food and non-alcoholic beverages,2.9,-0.2,Moderate pressure,3.423
Johor,Johor,2025-04-01,202504,2025,4,April,Apr,2025-04,01,Food and non-alcoholic beverages,3.0,-0.1,Moderate pressure,3.423
Johor,Johor,2025-05-01,202505,2025,5,May,May,2025-05,01,Food and non-alcoholic beverages,2.4,-0.2,Moderate pressure,3.423
Johor,Johor,2025-06-01,202506,2025,6,June,Jun,2025-06,01,Food and non-alcoholic beverages,2.2,0.3,Moderate pressure,3.423
Johor,Johor,2025-07-01,202507,2025,7,July,Jul,2025-07,01,Food and non-alcoholic beverages,2.1,-0.2,Moderate pressure,3.423
Johor,Johor,2025-08-01,202508,2025,8,August,Aug,2025-08,01,Food and non-alcoholic beverages,2.3,0.3,Moderate pressure,3.423
Johor,Johor,2025-09-01,202509,2025,9,September,Sep,2025-09,01,Food and non-alcoholic beverages,2.2,0.1,Moderate pressure,3.423
Johor,Johor,2025-10-01,202510,2025,10,October,Oct,2025-10,01,Food and non-alcoholic beverages,1.9,0.7,Low pressure,3.423
Johor,Johor,2025-11-01,202511,2025,11,November,Nov,2025-11,01,Food and non-alcoholic beverages,2.0,0.2,Moderate pressure,3.423
Johor,Johor,2025-12-01,202512,2025,12,December,Dec,2025-12,01,Food and non-alcoholic beverages,2.3,1.0,Moderate pressure,3.423
Johor,Johor,2026-01-01,202601,2026,1,January,Jan,2026-01,01,Food and non-alcoholic beverages,2.5,0.3,Moderate pressure,3.423
