state,state_display,map_state,year,date,crop_type,crop_group,crop_order,planted_area,production,production_thousand_tonnes,total_production_for_crop_year,production_share_percent,production_rank
W.P. Labuan,Labuan,Labuan,2017,2017-01-01,paddy,Paddy,1,0.0,0.0,0.0,2570513.0,0.0,14
Kedah,Kedah,Kedah,2018,2018-01-01,paddy,Paddy,1,214592.0,955662.0,955.662,2639202.0,36.210263556938806,1
Kelantan,Kelantan,Kelantan,2018,2018-01-01,paddy,Paddy,1,74149.0,319774.0,319.774,2639202.0,12.116313946412589,2
Perak,Perak,Perak,2018,2018-01-01,paddy,Paddy,1,81699.0,292063.0,292.063,2639202.0,11.066337476252292,3
Sarawak,Sarawak,Sarawak,2018,2018-01-01,paddy,Paddy,1,135426.0,265358.0,265.358,2639202.0,10.054478588603677,4
Perlis,Perlis,Perlis,2018,2018-01-01,paddy,Paddy,1,51612.0,240615.0,240.615,2639202.0,9.116960353925164,5
Selangor,Selangor,Selangor,2018,2018-01-01,paddy,Paddy,1,36868.0,174432.0,174.432,2639202.0,6.609270529500963,6
Pulau Pinang,Penang,Penang,2018,2018-01-01,paddy,Paddy,1,25564.0,133636.0,133.636,2639202.0,5.063500255001322,7
Sabah,Sabah,Sabah,2018,2018-01-01,paddy,Paddy,1,42442.0,122390.0,122.39,2639202.0,4.637386603981051,8
Terengganu,Terengganu,Terengganu,2018,2018-01-01,paddy,Paddy,1,17431.0,74335.0,74.335,2639202.0,2.816571069588459,9
Pahang,Pahang,Pahang,2018,2018-01-01,paddy,Paddy,1,12300.0,34657.0,34.657,2639202.0,1.3131620845998146,10
Johor,Johor,Johor,2018,2018-01-01,paddy,Paddy,1,2866.0,9424.0,9.424,2639202.0,0.35707763179930907,11
Melaka,Melaka,Melaka,2018,2018-01-01,paddy,Paddy,1,3135.0,9352.0,9.352,2639202.0,0.354349534442608,12
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2018,2018-01-01,paddy,Paddy,1,1896.0,7504.0,7.504,2639202.0,0.284328368953949,13
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2018,2018-01-01,paddy,Paddy,1,0.0,0.0,0.0,2639202.0,0.0,14
W.P. Labuan,Labuan,Labuan,2018,2018-01-01,paddy,Paddy,1,0.0,0.0,0.0,2639202.0,0.0,14
Kedah,Kedah,Kedah,2019,2019-01-01,paddy,Paddy,1,214252.0,859018.0,859.018,2352870.0,36.509369408424604,1
Kelantan,Kelantan,Kelantan,2019,2019-01-01,paddy,Paddy,1,71240.0,268831.0,268.831,2352870.0,11.425663126309571,2
Perak,Perak,Perak,2019,2019-01-01,paddy,Paddy,1,81380.0,257605.0,257.605,2352870.0,10.948543693446727,3
Sarawak,Sarawak,Sarawak,2019,2019-01-01,paddy,Paddy,1,109261.0,215491.0,215.491,2352870.0,9.158644548997607,4
Perlis,Perlis,Perlis,2019,2019-01-01,paddy,Paddy,1,51612.0,209828.0,209.828,2352870.0,8.91795976828299,5
Selangor,Selangor,Selangor,2019,2019-01-01,paddy,Paddy,1,36602.0,174088.0,174.088,2352870.0,7.398963818655514,6
Pulau Pinang,Penang,Penang,2019,2019-01-01,paddy,Paddy,1,25564.0,128127.0,128.127,2352870.0,5.445562228257405,7
Sabah,Sabah,Sabah,2019,2019-01-01,paddy,Paddy,1,43546.0,112569.0,112.569,2352870.0,4.784327225898584,8
Terengganu,Terengganu,Terengganu,2019,2019-01-01,paddy,Paddy,1,18341.0,71382.0,71.382,2352870.0,3.033826773259891,9
Pahang,Pahang,Pahang,2019,2019-01-01,paddy,Paddy,1,12435.0,31234.0,31.234,2352870.0,1.3274851564259817,10
Melaka,Melaka,Melaka,2019,2019-01-01,paddy,Paddy,1,3360.0,9323.0,9.323,2352870.0,0.3962394862444589,11
Johor,Johor,Johor,2019,2019-01-01,paddy,Paddy,1,2555.0,7704.0,7.704,2352870.0,0.32742990475461886,12
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2019,2019-01-01,paddy,Paddy,1,1936.0,7670.0,7.67,2352870.0,0.3259848610420465,13
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2019,2019-01-01,paddy,Paddy,1,0.0,0.0,0.0,2352870.0,0.0,14
W.P. Labuan,Labuan,Labuan,2019,2019-01-01,paddy,Paddy,1,0.0,0.0,0.0,2352870.0,0.0,14
Kedah,Kedah,Kedah,2020,2020-01-01,paddy,Paddy,1,214328.0,914200.0,914.2,2356391.9,38.7966025515535,1
Kelantan,Kelantan,Kelantan,2020,2020-01-01,paddy,Paddy,1,73717.0,305675.0,305.675,2356391.9,12.972163076948279,2
Perak,Perak,Perak,2020,2020-01-01,paddy,Paddy,1,76201.0,232437.0,232.437,2356391.9,9.864106221040736,3
Perlis,Perlis,Perlis,2020,2020-01-01,paddy,Paddy,1,51598.0,203275.0,203.275,2356391.9,8.626536188653509,4
Sarawak,Sarawak,Sarawak,2020,2020-01-01,paddy,Paddy,1,90865.2,167588.9,167.5889,2356391.9,7.112097949411556,5
Selangor,Selangor,Selangor,2020,2020-01-01,paddy,Paddy,1,36004.0,159535.0,159.535,2356391.9,6.770308453360411,6
Pulau Pinang,Penang,Penang,2020,2020-01-01,paddy,Paddy,1,24210.0,121594.0,121.594,2356391.9,5.160177303274553,7
Sabah,Sabah,Sabah,2020,2020-01-01,paddy,Paddy,1,40446.0,117846.0,117.846,2356391.9,5.0011205691209515,8
Terengganu,Terengganu,Terengganu,2020,2020-01-01,paddy,Paddy,1,19071.0,73723.0,73.723,2356391.9,3.1286391707593295,9
Pahang,Pahang,Pahang,2020,2020-01-01,paddy,Paddy,1,10572.0,35524.0,35.524,2356391.9,1.5075590779275723,10
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2020,2020-01-01,paddy,Paddy,1,1989.0,8942.0,8.942,2356391.9,0.3794784729993343,11
Melaka,Melaka,Melaka,2020,2020-01-01,paddy,Paddy,1,3360.0,8550.0,8.55,2356391.9,0.3628428700675809,12
Johor,Johor,Johor,2020,2020-01-01,paddy,Paddy,1,2547.0,7502.0,7.502,2356391.9,0.31836809488268913,13
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2020,2020-01-01,paddy,Paddy,1,0.0,0.0,0.0,2356391.9,0.0,14
W.P. Labuan,Labuan,Labuan,2020,2020-01-01,paddy,Paddy,1,0.0,0.0,0.0,2356391.9,0.0,14
Kedah,Kedah,Kedah,2021,2021-01-01,paddy,Paddy,1,214880.0,906692.0,906.692,2441597.0,37.13520290203502,1
Kelantan,Kelantan,Kelantan,2021,2021-01-01,paddy,Paddy,1,74972.0,333868.0,333.868,2441597.0,13.674164901087279,2
Perlis,Perlis,Perlis,2021,2021-01-01,paddy,Paddy,1,60478.0,256034.0,256.034,2441597.0,10.486333330193313,3
Perak,Perak,Perak,2021,2021-01-01,paddy,Paddy,1,74949.0,244397.0,244.397,2441597.0,10.009719048639067,4
Selangor,Selangor,Selangor,2021,2021-01-01,paddy,Paddy,1,35885.0,155631.0,155.631,2441597.0,6.374147740188082,5
Sarawak,Sarawak,Sarawak,2021,2021-01-01,paddy,Paddy,1,83143.0,148903.0,148.903,2441597.0,6.098590389814535,6
Pulau Pinang,Penang,Penang,2021,2021-01-01,paddy,Paddy,1,24210.0,136919.0,136.919,2441597.0,5.607764098661654,7
Sabah,Sabah,Sabah,2021,2021-01-01,paddy,Paddy,1,38732.0,112284.0,112.284,2441597.0,4.598793330758516,8
Terengganu,Terengganu,Terengganu,2021,2021-01-01,paddy,Paddy,1,19601.0,72023.0,72.023,2441597.0,2.949831606116816,9
Pahang,Pahang,Pahang,2021,2021-01-01,paddy,Paddy,1,13639.0,50866.0,50.866,2441597.0,2.0833085886000022,10
Melaka,Melaka,Melaka,2021,2021-01-01,paddy,Paddy,1,3462.0,10287.0,10.287,2441597.0,0.42132260155955303,11
Johor,Johor,Johor,2021,2021-01-01,paddy,Paddy,1,2505.0,9031.0,9.031,2441597.0,0.36988086076449145,12
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2021,2021-01-01,paddy,Paddy,1,1480.0,4662.0,4.662,2441597.0,0.1909406015816697,13
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2021,2021-01-01,paddy,Paddy,1,0.0,0.0,0.0,2441597.0,0.0,14
