state,state_display,date,year,month_number,month,date_number,division,division_name,food_consumer_price_index
Johor,Johor,2023-10-01,2023,10,October,202310,01,Food and non-alcoholic beverages,159.7
Johor,Johor,2023-11-01,2023,11,November,202311,01,Food and non-alcoholic beverages,159.2
Johor,Johor,2023-12-01,2023,12,December,202312,01,Food and non-alcoholic beverages,160.1
Johor,Johor,2024-01-01,2024,1,January,202401,01,Food and non-alcoholic beverages,160.9
Johor,Johor,2024-02-01,2024,2,February,202402,01,Food and non-alcoholic beverages,161.0
Johor,Johor,2024-03-01,2024,3,March,202403,01,Food and non-alcoholic beverages,160.7
Johor,Johor,2024-04-01,2024,4,April,202404,01,Food and non-alcoholic beverages,160.3
Johor,Johor,2024-05-01,2024,5,May,202405,01,Food and non-alcoholic beverages,161.0
Johor,Johor,2024-06-01,2024,6,June,202406,01,Food and non-alcoholic beverages,161.8
Johor,Johor,2024-07-01,2024,7,July,202407,01,Food and non-alcoholic beverages,161.5
Johor,Johor,2024-08-01,2024,8,August,202408,01,Food and non-alcoholic beverages,161.7
Johor,Johor,2024-09-01,2024,9,September,202409,01,Food and non-alcoholic beverages,162.0
Johor,Johor,2024-10-01,2024,10,October,202410,01,Food and non-alcoholic beverages,163.6
Johor,Johor,2024-11-01,2024,11,November,202411,01,Food and non-alcoholic beverages,163.8
Johor,Johor,2024-12-01,2024,12,December,202412,01,Food and non-alcoholic beverages,164.9
Johor,Johor,2025-01-01,2025,1,January,202501,01,Food and non-alcoholic beverages,165.1
Johor,Johor,2025-02-01,2025,2,February,202502,01,Food and non-alcoholic beverages,165.6
Johor,Johor,2025-03-01,2025,3,March,202503,01,Food and non-alcoholic beverages,165.3
Johor,Johor,2025-04-01,2025,4,April,202504,01,Food and non-alcoholic beverages,165.1
Johor,Johor,2025-05-01,2025,5,May,202505,01,Food and non-alcoholic beverages,164.8
Johor,Johor,2025-06-01,2025,6,June,202506,01,Food and non-alcoholic beverages,165.3
Johor,Johor,2025-07-01,2025,7,July,202507,01,Food and non-alcoholic beverages,164.9
Johor,Johor,2025-08-01,2025,8,August,202508,01,Food and non-alcoholic beverages,165.4
Johor,Johor,2025-09-01,2025,9,September,202509,01,Food and non-alcoholic beverages,165.5
Johor,Johor,2025-10-01,2025,10,October,202510,01,Food and non-alcoholic beverages,166.7
Johor,Johor,2025-11-01,2025,11,November,202511,01,Food and non-alcoholic beverages,167.0
Johor,Johor,2025-12-01,2025,12,December,202512,01,Food and non-alcoholic beverages,168.7
Johor,Johor,2026-01-01,2026,1,January,202601,01,Food and non-alcoholic beverages,169.2
Johor,Johor,2026-02-01,2026,2,February,202602,01,Food and non-alcoholic beverages,169.1
Johor,Johor,2026-03-01,2026,3,March,202603,01,Food and non-alcoholic beverages,168.5
Kelantan,Kelantan,2010-01-01,2010,1,January,201001,01,Food and non-alcoholic beverages,98.9
Kelantan,Kelantan,2010-02-01,2010,2,February,201002,01,Food and non-alcoholic beverages,98.5
Kelantan,Kelantan,2010-03-01,2010,3,March,201003,01,Food and non-alcoholic beverages,98.6
Kelantan,Kelantan,2010-04-01,2010,4,April,201004,01,Food and non-alcoholic beverages,98.8
Kelantan,Kelantan,2010-05-01,2010,5,May,201005,01,Food and non-alcoholic beverages,99.2
Kelantan,Kelantan,2010-06-01,2010,6,June,201006,01,Food and non-alcoholic beverages,100.0
Kelantan,Kelantan,2010-07-01,2010,7,July,201007,01,Food and non-alcoholic beverages,100.2
Kelantan,Kelantan,2010-08-01,2010,8,August,201008,01,Food and non-alcoholic beverages,100.7
Kelantan,Kelantan,2010-09-01,2010,9,September,201009,01,Food and non-alcoholic beverages,101.0
Kelantan,Kelantan,2010-10-01,2010,10,October,201010,01,Food and non-alcoholic beverages,100.6
Kelantan,Kelantan,2010-11-01,2010,11,November,201011,01,Food and non-alcoholic beverages,101.6
Kelantan,Kelantan,2010-12-01,2010,12,December,201012,01,Food and non-alcoholic beverages,102.0
Kelantan,Kelantan,2011-01-01,2011,1,January,201101,01,Food and non-alcoholic beverages,103.6
Kelantan,Kelantan,2011-02-01,2011,2,February,201102,01,Food and non-alcoholic beverages,103.9
Kelantan,Kelantan,2011-03-01,2011,3,March,201103,01,Food and non-alcoholic beverages,104.3
Kelantan,Kelantan,2011-04-01,2011,4,April,201104,01,Food and non-alcoholic beverages,105.1
Kelantan,Kelantan,2011-05-01,2011,5,May,201105,01,Food and non-alcoholic beverages,105.6
Kelantan,Kelantan,2011-06-01,2011,6,June,201106,01,Food and non-alcoholic beverages,106.3
Kelantan,Kelantan,2011-07-01,2011,7,July,201107,01,Food and non-alcoholic beverages,106.7
Kelantan,Kelantan,2011-08-01,2011,8,August,201108,01,Food and non-alcoholic beverages,107.0
Kelantan,Kelantan,2011-09-01,2011,9,September,201109,01,Food and non-alcoholic beverages,107.1
Kelantan,Kelantan,2011-10-01,2011,10,October,201110,01,Food and non-alcoholic beverages,107.3
Kelantan,Kelantan,2011-11-01,2011,11,November,201111,01,Food and non-alcoholic beverages,107.1
Kelantan,Kelantan,2011-12-01,2011,12,December,201112,01,Food and non-alcoholic beverages,108.0
Kelantan,Kelantan,2012-01-01,2012,1,January,201201,01,Food and non-alcoholic beverages,109.1
Kelantan,Kelantan,2012-02-01,2012,2,February,201202,01,Food and non-alcoholic beverages,107.8
Kelantan,Kelantan,2012-03-01,2012,3,March,201203,01,Food and non-alcoholic beverages,107.6
Kelantan,Kelantan,2012-04-01,2012,4,April,201204,01,Food and non-alcoholic beverages,107.3
Kelantan,Kelantan,2012-05-01,2012,5,May,201205,01,Food and non-alcoholic beverages,108.1
Kelantan,Kelantan,2012-06-01,2012,6,June,201206,01,Food and non-alcoholic beverages,109.4
Kelantan,Kelantan,2012-07-01,2012,7,July,201207,01,Food and non-alcoholic beverages,109.2
Kelantan,Kelantan,2012-08-01,2012,8,August,201208,01,Food and non-alcoholic beverages,109.7
Kelantan,Kelantan,2012-09-01,2012,9,September,201209,01,Food and non-alcoholic beverages,108.8
Kelantan,Kelantan,2012-10-01,2012,10,October,201210,01,Food and non-alcoholic beverages,108.7
Kelantan,Kelantan,2012-11-01,2012,11,November,201211,01,Food and non-alcoholic beverages,108.7
Kelantan,Kelantan,2012-12-01,2012,12,December,201212,01,Food and non-alcoholic beverages,109.0
Kelantan,Kelantan,2013-01-01,2013,1,January,201301,01,Food and non-alcoholic beverages,110.4
Kelantan,Kelantan,2013-02-01,2013,2,February,201302,01,Food and non-alcoholic beverages,110.7
Kelantan,Kelantan,2013-03-01,2013,3,March,201303,01,Food and non-alcoholic beverages,110.4
Kelantan,Kelantan,2013-04-01,2013,4,April,201304,01,Food and non-alcoholic beverages,110.7
Kelantan,Kelantan,2013-05-01,2013,5,May,201305,01,Food and non-alcoholic beverages,111.4
Kelantan,Kelantan,2013-06-01,2013,6,June,201306,01,Food and non-alcoholic beverages,112.8
Kelantan,Kelantan,2013-07-01,2013,7,July,201307,01,Food and non-alcoholic beverages,113.9
Kelantan,Kelantan,2013-08-01,2013,8,August,201308,01,Food and non-alcoholic beverages,113.6
Kelantan,Kelantan,2013-09-01,2013,9,September,201309,01,Food and non-alcoholic beverages,113.2
Kelantan,Kelantan,2013-10-01,2013,10,October,201310,01,Food and non-alcoholic beverages,113.2
Kelantan,Kelantan,2013-11-01,2013,11,November,201311,01,Food and non-alcoholic beverages,113.6
Kelantan,Kelantan,2013-12-01,2013,12,December,201312,01,Food and non-alcoholic beverages,115.0
Kelantan,Kelantan,2014-01-01,2014,1,January,201401,01,Food and non-alcoholic beverages,115.7
Kelantan,Kelantan,2014-02-01,2014,2,February,201402,01,Food and non-alcoholic beverages,115.3
Kelantan,Kelantan,2014-03-01,2014,3,March,201403,01,Food and non-alcoholic beverages,115.4
Kelantan,Kelantan,2014-04-01,2014,4,April,201404,01,Food and non-alcoholic beverages,115.2
Kelantan,Kelantan,2014-05-01,2014,5,May,201405,01,Food and non-alcoholic beverages,115.6
Kelantan,Kelantan,2014-06-01,2014,6,June,201406,01,Food and non-alcoholic beverages,116.3
Kelantan,Kelantan,2014-07-01,2014,7,July,201407,01,Food and non-alcoholic beverages,117.8
Kelantan,Kelantan,2014-08-01,2014,8,August,201408,01,Food and non-alcoholic beverages,117.6
Kelantan,Kelantan,2014-09-01,2014,9,September,201409,01,Food and non-alcoholic beverages,117.4
Kelantan,Kelantan,2014-10-01,2014,10,October,201410,01,Food and non-alcoholic beverages,117.2
