state,state_display,year,crop_type,crop_type_display,production_tonnes,production_thousand_tonnes,planted_area_hectares,production_share_percent,production_rank,average_food_inflation,average_monthly_change,months_available
Melaka,Melaka,2021,vegetables,Vegetables,10940.5,10.94,769.2,1.01,12,1.41,0.21,12
Perlis,Perlis,2021,vegetables,Vegetables,1839.5,1.84,403.6,0.17,13,1.41,0.28,12
W.P. Labuan,Labuan,2021,vegetables,Vegetables,462.2,0.46,65.1,0.04,14,1.37,0.18,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,vegetables,Vegetables,0.0,0.0,0.0,0.0,15,1.29,0.22,12
Johor,Johor,2022,all_food_crops,All food crops,1173189.5,1173.19,85275.3,19.75,1,6.15,0.56,12
Kedah,Kedah,2022,all_food_crops,All food crops,980959.4,980.96,226901.5,16.51,2,3.69,0.26,12
Pahang,Pahang,2022,all_food_crops,All food crops,817389.3,817.39,66624.5,13.76,3,4.94,0.49,12
Kelantan,Kelantan,2022,all_food_crops,All food crops,627807.4,627.81,112416.0,10.57,4,4.49,0.38,12
Perak,Perak,2022,all_food_crops,All food crops,580355.1,580.36,101501.2,9.77,5,5.39,0.48,12
Sarawak,Sarawak,2022,all_food_crops,All food crops,378752.1,378.75,132815.8,6.37,6,5.49,0.68,12
Selangor,Selangor,2022,all_food_crops,All food crops,342178.5,342.18,49717.0,5.76,7,7.32,0.67,12
Sabah,Sabah,2022,all_food_crops,All food crops,325386.4,325.39,81688.4,5.48,8,5.08,0.6,12
Perlis,Perlis,2022,all_food_crops,All food crops,248694.9,248.69,63879.7,4.19,9,4.9,0.34,12
Pulau Pinang,Penang,2022,all_food_crops,All food crops,155253.7,155.25,27482.4,2.61,10,6.02,0.53,12
Terengganu,Terengganu,2022,all_food_crops,All food crops,124473.4,124.47,29909.5,2.09,11,4.91,0.43,12
Negeri Sembilan,Negeri Sembilan,2022,all_food_crops,All food crops,113462.3,113.46,11063.5,1.91,12,4.78,0.49,12
Melaka,Melaka,2022,all_food_crops,All food crops,72532.2,72.53,12828.4,1.22,13,4.63,0.47,12
W.P. Labuan,Labuan,2022,all_food_crops,All food crops,1197.7,1.2,332.5,0.02,14,3.44,0.31,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,all_food_crops,All food crops,0.0,0.0,0.0,0.0,15,5.05,0.49,12
Johor,Johor,2022,coconut,Coconut,124062.2,124.06,13269.8,20.53,1,6.15,0.56,12
Selangor,Selangor,2022,coconut,Coconut,110783.8,110.78,9526.4,18.33,2,7.32,0.67,12
Perak,Perak,2022,coconut,Coconut,88291.6,88.29,7727.7,14.61,3,5.39,0.48,12
Kelantan,Kelantan,2022,coconut,Coconut,77467.0,77.47,11435.6,12.82,4,4.49,0.38,12
Sabah,Sabah,2022,coconut,Coconut,61517.9,61.52,18631.8,10.18,5,5.08,0.6,12
Kedah,Kedah,2022,coconut,Coconut,31787.5,31.79,1773.7,5.26,6,3.69,0.26,12
Pahang,Pahang,2022,coconut,Coconut,27270.0,27.27,2899.7,4.51,7,4.94,0.49,12
Sarawak,Sarawak,2022,coconut,Coconut,24522.3,24.52,12100.3,4.06,8,5.49,0.68,12
Melaka,Melaka,2022,coconut,Coconut,20659.9,20.66,3013.8,3.42,9,4.63,0.47,12
Terengganu,Terengganu,2022,coconut,Coconut,18248.3,18.25,2406.5,3.02,10,4.91,0.43,12
Negeri Sembilan,Negeri Sembilan,2022,coconut,Coconut,14521.2,14.52,1491.2,2.4,11,4.78,0.49,12
Perlis,Perlis,2022,coconut,Coconut,4813.9,4.81,575.7,0.8,12,4.9,0.34,12
W.P. Labuan,Labuan,2022,coconut,Coconut,405.1,0.41,71.3,0.07,13,3.44,0.31,12
Pulau Pinang,Penang,2022,coconut,Coconut,77.8,0.08,12.3,0.01,14,6.02,0.53,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,coconut,Coconut,0.0,0.0,0.0,0.0,15,5.05,0.49,12
Johor,Johor,2022,fruits,Fruits,772317.4,772.32,50217.0,42.25,1,6.15,0.56,12
Pahang,Pahang,2022,fruits,Fruits,271797.9,271.8,27331.1,14.87,2,4.94,0.49,12
Sarawak,Sarawak,2022,fruits,Fruits,147922.3,147.92,36397.5,8.09,3,5.49,0.68,12
Kelantan,Kelantan,2022,fruits,Fruits,134277.4,134.28,21326.5,7.35,4,4.49,0.38,12
Sabah,Sabah,2022,fruits,Fruits,106700.0,106.7,20922.2,5.84,5,5.08,0.6,12
Perak,Perak,2022,fruits,Fruits,101488.2,101.49,11588.7,5.55,6,5.39,0.48,12
Kedah,Kedah,2022,fruits,Fruits,96009.6,96.01,9762.2,5.25,7,3.69,0.26,12
Negeri Sembilan,Negeri Sembilan,2022,fruits,Fruits,68198.9,68.2,6107.7,3.73,8,4.78,0.49,12
Selangor,Selangor,2022,fruits,Fruits,41376.1,41.38,1971.6,2.26,9,7.32,0.67,12
Melaka,Melaka,2022,fruits,Fruits,28518.7,28.52,5631.5,1.56,10,4.63,0.47,12
Terengganu,Terengganu,2022,fruits,Fruits,27278.9,27.28,7184.4,1.49,11,4.91,0.43,12
Pulau Pinang,Penang,2022,fruits,Fruits,23911.1,23.91,2536.7,1.31,12,6.02,0.53,12
Perlis,Perlis,2022,fruits,Fruits,7744.2,7.74,2266.3,0.42,13,4.9,0.34,12
W.P. Labuan,Labuan,2022,fruits,Fruits,451.8,0.45,187.8,0.02,14,3.44,0.31,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,fruits,Fruits,0.0,0.0,0.0,0.0,15,5.05,0.49,12
Sarawak,Sarawak,2022,herbs,Herbs,2981.2,2.98,637.9,29.96,1,5.49,0.68,12
Johor,Johor,2022,herbs,Herbs,2722.4,2.72,256.2,27.36,2,6.15,0.56,12
Perak,Perak,2022,herbs,Herbs,1096.7,1.1,457.9,11.02,3,5.39,0.48,12
Pahang,Pahang,2022,herbs,Herbs,923.1,0.92,164.3,9.28,4,4.94,0.49,12
Kelantan,Kelantan,2022,herbs,Herbs,786.4,0.79,161.8,7.9,5,4.49,0.38,12
Selangor,Selangor,2022,herbs,Herbs,758.2,0.76,82.8,7.62,6,7.32,0.67,12
Kedah,Kedah,2022,herbs,Herbs,282.7,0.28,176.5,2.84,7,3.69,0.26,12
Terengganu,Terengganu,2022,herbs,Herbs,226.6,0.23,124.4,2.28,8,4.91,0.43,12
Negeri Sembilan,Negeri Sembilan,2022,herbs,Herbs,104.7,0.1,18.2,1.05,9,4.78,0.49,12
Melaka,Melaka,2022,herbs,Herbs,59.3,0.06,14.4,0.6,10,4.63,0.47,12
Perlis,Perlis,2022,herbs,Herbs,5.7,0.01,6.8,0.06,11,4.9,0.34,12
Pulau Pinang,Penang,2022,herbs,Herbs,4.3,0.0,0.7,0.04,12,6.02,0.53,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,herbs,Herbs,0.0,0.0,0.0,0.0,13,5.05,0.49,12
W.P. Labuan,Labuan,2022,herbs,Herbs,0.0,0.0,0.0,0.0,13,3.44,0.31,12
Sabah,Sabah,2022,herbs,Herbs,0.0,0.0,6.2,0.0,13,5.08,0.6,12
Kedah,Kedah,2022,paddy,Paddy,834901.0,834.9,213718.0,36.59,1,3.69,0.26,12
Kelantan,Kelantan,2022,paddy,Paddy,272633.0,272.63,74017.0,11.95,2,4.49,0.38,12
Perak,Perak,2022,paddy,Paddy,269790.0,269.79,74594.0,11.82,3,5.39,0.48,12
Perlis,Perlis,2022,paddy,Paddy,233781.0,233.78,60470.0,10.25,4,4.9,0.34,12
Selangor,Selangor,2022,paddy,Paddy,153492.0,153.49,35539.0,6.73,5,7.32,0.67,12
Sarawak,Sarawak,2022,paddy,Paddy,147272.0,147.27,77943.0,6.45,6,5.49,0.68,12
Pulau Pinang,Penang,2022,paddy,Paddy,122321.0,122.32,24210.0,5.36,7,6.02,0.53,12
Sabah,Sabah,2022,paddy,Paddy,107565.0,107.56,37323.0,4.71,8,5.08,0.6,12
Terengganu,Terengganu,2022,paddy,Paddy,62712.0,62.71,18957.0,2.75,9,4.91,0.43,12
Pahang,Pahang,2022,paddy,Paddy,51185.0,51.18,13757.0,2.24,10,4.94,0.49,12
Johor,Johor,2022,paddy,Paddy,10832.0,10.83,2776.0,0.47,11,6.15,0.56,12
Melaka,Melaka,2022,paddy,Paddy,10314.0,10.31,3318.0,0.45,12,4.63,0.47,12
Negeri Sembilan,Negeri Sembilan,2022,paddy,Paddy,4941.0,4.94,1313.0,0.22,13,4.78,0.49,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,paddy,Paddy,0.0,0.0,0.0,0.0,14,5.05,0.49,12
W.P. Labuan,Labuan,2022,paddy,Paddy,0.0,0.0,0.0,0.0,14,3.44,0.31,12
Johor,Johor,2022,spices,Spices,17925.1,17.93,1568.0,33.36,1,6.15,0.56,12
Pahang,Pahang,2022,spices,Spices,10571.9,10.57,1081.2,19.68,2,4.94,0.49,12
Kelantan,Kelantan,2022,spices,Spices,4730.9,4.73,583.0,8.81,3,4.49,0.38,12
Negeri Sembilan,Negeri Sembilan,2022,spices,Spices,4674.0,4.67,341.9,8.7,4,4.78,0.49,12
Perak,Perak,2022,spices,Spices,2923.1,2.92,430.5,5.44,5,5.39,0.48,12
Sabah,Sabah,2022,spices,Spices,2921.6,2.92,452.1,5.44,6,5.08,0.6,12
Selangor,Selangor,2022,spices,Spices,2871.7,2.87,231.8,5.34,7,7.32,0.67,12
Sarawak,Sarawak,2022,spices,Spices,2863.1,2.86,481.8,5.33,8,5.49,0.68,12
Kedah,Kedah,2022,spices,Spices,2166.5,2.17,419.9,4.03,9,3.69,0.26,12
Terengganu,Terengganu,2022,spices,Spices,955.0,0.96,167.9,1.78,10,4.91,0.43,12
Melaka,Melaka,2022,spices,Spices,798.9,0.8,102.2,1.49,11,4.63,0.47,12
Pulau Pinang,Penang,2022,spices,Spices,285.6,0.29,35.6,0.53,12,6.02,0.53,12
Perlis,Perlis,2022,spices,Spices,40.1,0.04,18.0,0.07,13,4.9,0.34,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,spices,Spices,0.0,0.0,0.0,0.0,14,5.05,0.49,12
W.P. Labuan,Labuan,2022,spices,Spices,0.0,0.0,0.0,0.0,14,3.44,0.31,12
Pahang,Pahang,2022,vegetables,Vegetables,455641.4,455.64,21391.2,39.15,1,4.94,0.49,12
Johor,Johor,2022,vegetables,Vegetables,245330.4,245.33,17188.3,21.08,2,6.15,0.56,12
Kelantan,Kelantan,2022,vegetables,Vegetables,137912.7,137.91,4892.1,11.85,3,4.49,0.38,12
Perak,Perak,2022,vegetables,Vegetables,116765.5,116.77,6702.4,10.03,4,5.39,0.48,12
Sarawak,Sarawak,2022,vegetables,Vegetables,53191.2,53.19,5255.3,4.57,5,5.49,0.68,12
Sabah,Sabah,2022,vegetables,Vegetables,46681.9,46.68,4353.1,4.01,6,5.08,0.6,12
Selangor,Selangor,2022,vegetables,Vegetables,32896.7,32.9,2365.4,2.83,7,7.32,0.67,12
Negeri Sembilan,Negeri Sembilan,2022,vegetables,Vegetables,21022.5,21.02,1791.5,1.81,8,4.78,0.49,12
Kedah,Kedah,2022,vegetables,Vegetables,15812.1,15.81,1051.2,1.36,9,3.69,0.26,12
Terengganu,Terengganu,2022,vegetables,Vegetables,15052.6,15.05,1069.3,1.29,10,4.91,0.43,12
Melaka,Melaka,2022,vegetables,Vegetables,12181.4,12.18,748.5,1.05,11,4.63,0.47,12
Pulau Pinang,Penang,2022,vegetables,Vegetables,8653.9,8.65,687.1,0.74,12,6.02,0.53,12
Perlis,Perlis,2022,vegetables,Vegetables,2310.0,2.31,542.9,0.2,13,4.9,0.34,12
W.P. Labuan,Labuan,2022,vegetables,Vegetables,340.8,0.34,73.4,0.03,14,3.44,0.31,12
W.P. Kuala Lumpur,Kuala Lumpur,2022,vegetables,Vegetables,0.0,0.0,0.0,0.0,15,5.05,0.49,12
