state,state_display,date,year,month_number,month,period_id,period_label,date_number,division,division_name,inflation_yoy,inflation_mom
Perlis,Perlis,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,5.0,0.2
W.P. Putrajaya,Putrajaya,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,3.4,0.3
Sabah,Sabah,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,4.9,0.3
Sarawak,Sarawak,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,3.3,-0.1
Selangor,Selangor,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,5.2,0.2
Terengganu,Terengganu,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,6.3,0.8
Johor,Johor,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.5,0.1
Kedah,Kedah,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,3.8,0.1
Kelantan,Kelantan,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,6.5,0.5
W.P. Kuala Lumpur,Kuala Lumpur,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,3.5,0.1
W.P. Labuan,Labuan,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,2.3,0.3
Melaka,Melaka,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.5,0.0
Negeri Sembilan,Negeri Sembilan,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,5.9,0.1
Pahang,Pahang,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.3,0.1
Pulau Pinang,Penang,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,5.3,0.0
Perak,Perak,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.2,0.0
Perlis,Perlis,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.6,-0.2
W.P. Putrajaya,Putrajaya,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,3.2,0.1
Sabah,Sabah,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.9,-0.3
Sarawak,Sarawak,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,3.1,0.0
Selangor,Selangor,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,4.7,0.0
Terengganu,Terengganu,2011-05-01,2011,5,May,2011-05,May 2011,201105,01,Food and non-alcoholic beverages,5.4,-0.1
Johor,Johor,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.4,1.5
Kedah,Kedah,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,3.8,0.4
Kelantan,Kelantan,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,6.3,0.7
W.P. Kuala Lumpur,Kuala Lumpur,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,3.0,0.3
W.P. Labuan,Labuan,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,2.2,0.2
Melaka,Melaka,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.1,1.0
Negeri Sembilan,Negeri Sembilan,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.8,0.6
Pahang,Pahang,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,4.7,0.6
Pulau Pinang,Penang,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.7,1.0
Perak,Perak,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,4.4,0.6
Perlis,Perlis,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,4.4,0.3
W.P. Putrajaya,Putrajaya,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,3.3,0.3
Sabah,Sabah,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.2,0.1
Sarawak,Sarawak,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,3.1,0.2
Selangor,Selangor,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.0,0.9
Terengganu,Terengganu,2011-06-01,2011,6,June,2011-06,June 2011,201106,01,Food and non-alcoholic beverages,5.6,1.0
Johor,Johor,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,5.5,0.5
Kedah,Kedah,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,3.8,0.4
Kelantan,Kelantan,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,6.5,0.4
W.P. Kuala Lumpur,Kuala Lumpur,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,3.4,0.8
W.P. Labuan,Labuan,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,2.1,0.2
Melaka,Melaka,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,4.7,0.4
Negeri Sembilan,Negeri Sembilan,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,6.1,0.3
