state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Melaka,Melaka,2019,"Crop production per 1,000 residents",2,53.56979750107712,53.6,95.30715814627946,61.28907367070693,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",9101.300000000001,49734.2,1872,928.4,Higher exposure
Melaka,Melaka,2019,"Fish landings per 1,000 residents",3,2.016372253339078,2.0,99.68192141064868,61.28907367070693,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",9101.300000000001,49734.2,1872,928.4,Higher exposure
Melaka,Melaka,2019,Population,4,928.4,928.4 thousand,12.94093775363676,61.28907367070693,Higher values mean stronger demand pressure,thousand people,9101.300000000001,49734.2,1872,928.4,Lower exposure
Melaka,Melaka,2020,Food inflation,1,0.75,0.8%,29.357798165137616,58.658766931338306,Higher values mean more price pressure,%,11911.5,66616.3,1797,998.4,Lower exposure
Melaka,Melaka,2020,"Crop production per 1,000 residents",2,66.72305689102565,66.7,92.72070753799515,58.658766931338306,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",11911.5,66616.3,1797,998.4,Higher exposure
Melaka,Melaka,2020,"Fish landings per 1,000 residents",3,1.7998798076923077,1.8,99.46392943630593,58.658766931338306,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",11911.5,66616.3,1797,998.4,Higher exposure
Melaka,Melaka,2020,Population,4,998.4,998.4 thousand,13.092632585914513,58.658766931338306,Higher values mean stronger demand pressure,thousand people,11911.5,66616.3,1797,998.4,Lower exposure
Melaka,Melaka,2021,Food inflation,1,1.4083333333333332,1.4%,43.31797235023041,62.754869777342016,Higher values mean more price pressure,%,9349.800000000001,54923.5,2089,1004.5,Moderate exposure
Melaka,Melaka,2021,"Crop production per 1,000 residents",2,54.677451468392235,54.7,95.44403751572908,62.754869777342016,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",9349.800000000001,54923.5,2089,1004.5,Higher exposure
Melaka,Melaka,2021,"Fish landings per 1,000 residents",3,2.079641612742658,2.1,99.12638970534503,62.754869777342016,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",9349.800000000001,54923.5,2089,1004.5,Higher exposure
Melaka,Melaka,2021,Population,4,1004.5,"1,004.5 thousand",13.131079538063508,62.754869777342016,Higher values mean stronger demand pressure,thousand people,9349.800000000001,54923.5,2089,1004.5,Lower exposure
Melaka,Melaka,2022,Food inflation,1,4.633333333333334,4.6%,30.75268817204303,59.00948527588777,Higher values mean more price pressure,%,12828.4,72532.2,2001,1008.6,Lower exposure
